#L TT           EE           TE
434 3.768288E+01 2.412723E-01 1.157632E-01
435 3.574142E+01 2.133098E-01 7.437353E-02
436 3.513401E+01 2.435814E-01 4.076698E-02
437 3.756993E+01 2.411066E-01 -3.001133E-02
438 3.621180E+01 2.691008E-01 -8.112954E-02
439 3.796412E+01 2.378287E-01 4.096949E-02
440 4.369055E+01 2.208212E-01 8.890916E-02
441 3.708354E+01 2.230195E-01 1.016041E-02
442 3.548567E+01 2.369336E-01 -1.295421E-02
443 3.742201E+01 2.406976E-01 1.313822E-02
444 3.596280E+01 1.939787E-01 -4.130030E-03
445 3.564296E+01 2.681564E-01 -1.413970E-02
446 4.324628E+01 2.806270E-01 -6.183210E-03
447 3.754405E+01 2.256761E-01 -4.001963E-02
448 4.125004E+01 2.604699E-01 -3.766828E-02
449 3.740373E+01 2.035706E-01 -1.274704E-02
450 3.908281E+01 2.582435E-01 -1.186949E-01
451 4.288374E+01 2.434534E-01 6.527972E-02
452 5.706181E+01 2.272949E-01 2.223640E-01
453 3.783587E+01 2.349448E-01 -1.404910E-02
454 3.962103E+01 2.523899E-01 -1.212002E-01
455 4.040570E+01 2.409777E-01 -8.917551E-02
456 4.047671E+01 2.376176E-01 -1.093018E-01
457 4.144949E+01 2.142321E-01 -1.028877E-01
458 4.173505E+01 3.332421E-01 -2.887671E-01
459 4.170618E+01 2.403958E-01 -2.742930E-01
460 4.245884E+01 2.446917E-01 -1.924912E-01
461 4.182282E+01 2.455473E-01 -1.326751E-01
462 4.223838E+01 2.767630E-01 -9.176518E-02
463 4.303204E+01 2.592012E-01 -1.488580E-01
464 4.398638E+01 2.793659E-01 -2.562658E-01
465 5.104670E+01 2.403873E-01 -3.942031E-01
466 4.796844E+01 2.661351E-01 -5.776905E-01
467 4.942456E+01 2.524644E-01 -4.260845E-01
468 6.245469E+01 2.690331E-01 -3.132230E-01
469 6.169820E+01 2.738690E-01 -5.005206E-01
470 4.932067E+01 2.405069E-01 -5.014146E-01
471 4.922968E+01 2.822842E-01 -5.006243E-01
472 4.852308E+01 2.736082E-01 -5.466498E-01
473 5.117091E+01 2.803818E-01 -5.024211E-01
474 5.337788E+01 2.534246E-01 -4.728482E-01
475 5.445342E+01 2.720916E-01 -5.254766E-01
476 5.461347E+01 2.175405E-01 -4.014941E-01
477 5.366697E+01 2.883221E-01 -5.888098E-01
478 5.261839E+01 2.698224E-01 -5.791533E-01
479 5.297771E+01 2.950262E-01 -5.582262E-01
480 5.526339E+01 2.746777E-01 -6.364308E-01
481 5.711245E+01 3.092503E-01 -6.485097E-01
482 5.490997E+01 2.784804E-01 -6.270445E-01
483 5.676295E+01 2.925997E-01 -7.078029E-01
484 5.628983E+01 2.537575E-01 -5.327758E-01
485 5.770698E+01 2.610261E-01 -5.739481E-01
486 5.739898E+01 2.833475E-01 -6.108212E-01
487 5.724186E+01 3.004057E-01 -5.585639E-01
488 5.871031E+01 2.968740E-01 -6.003406E-01
489 7.307042E+01 3.052407E-01 -6.107396E-01
490 6.088739E+01 3.118544E-01 -6.628330E-01
491 6.347715E+01 2.933909E-01 -7.456877E-01
492 6.574171E+01 3.027962E-01 -6.935908E-01
493 6.553338E+01 2.752310E-01 -6.237716E-01
494 6.023049E+01 2.916027E-01 -5.786446E-01
495 6.650592E+01 2.946754E-01 -3.521545E-01
496 6.295514E+01 2.651950E-01 -2.816167E-01
497 6.067171E+01 2.879631E-01 -5.179000E-01
498 6.080712E+01 3.001100E-01 -5.768551E-01
499 6.049978E+01 2.641443E-01 -3.992004E-01
500 5.998547E+01 2.948153E-01 -3.845618E-01
501 5.991689E+01 2.854822E-01 -3.232450E-01
502 6.280601E+01 3.015993E-01 -2.118226E-01
503 5.999129E+01 2.950906E-01 -2.472219E-01
504 5.838860E+01 2.770414E-01 -2.338142E-01
505 5.879416E+01 2.755158E-01 -1.846450E-01
506 5.971535E+01 2.882815E-01 -2.170813E-01
507 6.002153E+01 2.969427E-01 -6.452489E-02
508 5.653796E+01 2.794142E-01 -1.059042E-01
509 5.769061E+01 2.670611E-01 -1.842403E-01
510 6.554892E+01 2.501172E-01 -2.716814E-02
511 6.987947E+01 2.594947E-01 -7.796543E-02
