#L TT           EE
710 3.764565E-03 7.529130E-03
711 3.778675E-03 7.557351E-03
712 3.792827E-03 7.585653E-03
713 3.807018E-03 7.614036E-03
714 3.821251E-03 7.642501E-03
715 3.835524E-03 7.671048E-03
716 3.849839E-03 7.699677E-03
717 3.864194E-03 7.728388E-03
718 3.878591E-03 7.757182E-03
719 3.893029E-03 7.786058E-03
720 3.907508E-03 7.815017E-03
721 3.922029E-03 7.844059E-03
722 3.936592E-03 7.873184E-03
723 3.951196E-03 7.902392E-03
724 3.965842E-03 7.931684E-03
725 3.980530E-03 7.961060E-03
726 3.995260E-03 7.990520E-03
727 4.010032E-03 8.020065E-03
728 4.024847E-03 8.049693E-03
729 4.039703E-03 8.079407E-03
730 4.054602E-03 8.109205E-03
731 4.069544E-03 8.139088E-03
732 4.084528E-03 8.169057E-03
733 4.099555E-03 8.199111E-03
734 4.114625E-03 8.229250E-03
735 4.129738E-03 8.259476E-03
736 4.144894E-03 8.289788E-03
737 4.160093E-03 8.320186E-03
738 4.175335E-03 8.350670E-03
739 4.190621E-03 8.381241E-03
740 4.205950E-03 8.411900E-03
741 4.221323E-03 8.442645E-03
742 4.236739E-03 8.473478E-03
743 4.252199E-03 8.504398E-03
744 4.267703E-03 8.535406E-03
745 4.283251E-03 8.566503E-03
746 4.298843E-03 8.597687E-03
747 4.314480E-03 8.628960E-03
748 4.330161E-03 8.660321E-03
749 4.345886E-03 8.691772E-03
750 4.361656E-03 8.723311E-03
751 4.377470E-03 8.754940E-03
752 4.393329E-03 8.786658E-03
753 4.409233E-03 8.818466E-03
754 4.425182E-03 8.850364E-03
755 4.441176E-03 8.882352E-03
756 4.457215E-03 8.914431E-03
757 4.473300E-03 8.946600E-03
758 4.489430E-03 8.978860E-03
759 4.505605E-03 9.011211E-03
760 4.521827E-03 9.043653E-03
761 4.538094E-03 9.076187E-03
762 4.554406E-03 9.108813E-03
763 4.570765E-03 9.141530E-03
764 4.587170E-03 9.174340E-03
765 4.603621E-03 9.207242E-03
766 4.620118E-03 9.240237E-03
767 4.636662E-03 9.273324E-03
768 4.653252E-03 9.306505E-03
769 4.669889E-03 9.339778E-03
770 4.686573E-03 9.373146E-03
771 4.703303E-03 9.406607E-03
772 4.720081E-03 9.440162E-03
773 4.736906E-03 9.473811E-03
774 4.753777E-03 9.507555E-03
775 4.770697E-03 9.541393E-03
776 4.787663E-03 9.575326E-03
777 4.804677E-03 9.609355E-03
778 4.821739E-03 9.643478E-03
779 4.838849E-03 9.677697E-03
780 4.856006E-03 9.712012E-03
781 4.873212E-03 9.746423E-03
782 4.890465E-03 9.780931E-03
783 4.907767E-03 9.815534E-03
784 4.925118E-03 9.850235E-03
