#L TT           EE           TE
319 2.397845E+01 1.261585E-01 5.777049E-02
320 1.591190E+01 2.475941E-02 -3.263036E-02
321 3.953241E+01 4.866976E-02 2.585556E-02
322 6.945340E+01 9.082017E-02 1.463032E-01
323 1.027660E+01 8.720533E-02 -9.017972E-04
324 4.180464E+01 7.301466E-02 -4.966250E-02
325 2.004160E+01 9.642853E-02 -5.529897E-02
326 3.079112E+01 5.895449E-02 -1.596857E-02
327 1.471855E+01 1.851981E-01 1.988839E-03
328 2.042895E+01 7.786026E-02 -7.225756E-02
329 4.074962E+01 1.092567E-01 1.346754E-02
330 1.846747E+01 1.179298E-01 -9.875736E-02
331 1.856452E+01 1.423145E-01 -2.445795E-03
332 6.452505E+01 2.725962E-02 -1.092553E-01
333 4.089349E+01 3.053968E-02 2.254786E-03
334 2.489733E+01 1.334509E-01 8.276267E-02
335 2.930824E+01 1.766616E-01 1.633006E-01
336 2.264545E+01 6.690090E-02 -8.179241E-02
337 9.623897E+00 6.021881E-02 -3.044283E-02
338 1.685456E+01 4.290217E-02 -5.730623E-02
339 1.799881E+01 1.048966E-01 -6.200982E-02
340 2.028723E+01 1.237618E-01 -2.740512E-02
341 3.113184E+01 2.754131E-01 5.515678E-02
342 1.583198E+01 1.026101E-01 -1.539451E-01
343 1.641705E+01 1.285439E-01 2.426819E-03
344 3.555918E+01 1.293021E-01 6.660054E-02
345 2.096122E+01 1.869628E-01 -1.756812E-02
346 3.320965E+01 1.788097E-02 3.084721E-02
347 3.215469E+01 7.527407E-02 -4.640247E-02
348 1.079500E+01 7.228262E-02 7.888999E-03
349 1.930559E+01 1.456546E-01 1.013519E-01
350 3.744215E+01 1.707557E-01 6.740382E-03
351 1.432401E+01 1.185885E-01 9.052573E-02
352 1.433736E+01 2.152453E-01 -2.196762E-02
353 2.413485E+01 2.567494E-02 1.343822E-02
354 2.412418E+01 2.779446E-01 -2.971924E-02
355 4.857809E+01 6.488168E-02 -1.211946E-01
356 1.948682E+01 6.534603E-02 1.259166E-01
357 2.050635E+01 1.744091E-01 6.514070E-02
358 1.126371E+01 6.655277E-02 -3.162090E-02
359 4.043561E+01 1.072975E-01 5.634279E-02
360 1.602803E+01 2.176110E-01 -7.561443E-02
361 5.512669E+00 3.538627E-01 2.192386E-02
362 2.049493E+01 1.857776E-01 -6.982104E-02
363 2.366603E+01 9.263854E-02 -9.054954E-03
364 2.558719E+01 9.798425E-02 2.665443E-02
365 2.513023E+01 5.040125E-02 -4.167654E-02
366 1.813936E+01 1.107547E-01 -8.665146E-02
367 1.156782E+01 7.859886E-02 -4.643750E-02
368 2.280209E+01 8.973409E-02 -1.071807E-02
369 6.113742E+00 3.830731E-02 -9.881900E-03
370 6.362377E+01 4.523388E-02 8.104999E-02
371 1.690339E+01 1.045496E-01 4.579126E-02
372 2.578405E+01 1.275297E-02 2.671565E-02
373 1.752440E+01 1.097564E-01 -2.026878E-02
374 2.775592E+01 3.399910E-01 -1.071722E-01
375 3.539493E+01 8.875618E-02 -5.154301E-02
376 1.000040E+01 5.385894E-02 3.150225E-02
377 1.493731E+01 1.156943E-01 8.169271E-02
378 8.804183E+00 1.332852E-01 1.309665E-02
379 5.622564E+00 1.053442E-01 1.449560E-02
380 2.074552E+01 1.238936E-01 7.429354E-02
381 4.716239E+01 1.980996E-01 -3.955502E-02
382 1.254741E+01 6.785223E-02 2.082124E-02
383 1.019905E+01 1.093911E-01 -1.847332E-02
384 7.430675E+00 8.566746E-02 -1.528910E-02
385 1.503592E+01 2.527076E-02 4.331650E-04
386 1.904017E+01 2.552925E-01 -1.141626E-01
387 6.145105E+00 1.933617E-01 -2.486359E-02
388 4.559774E+00 3.112108E-02 3.737939E-03
389 6.020922E+00 6.484472E-02 -2.390033E-02
390 1.603377E+01 9.654749E-02 -1.278369E-01
391 3.435364E+01 1.019569E-02 -1.373610E-02
392 1.736270E+01 2.807187E-01 1.396237E-01
393 2.693902E+01 2.121962E-01 -2.107786E-01
394 1.256484E+01 1.243693E-01 -4.362860E-02
395 1.759004E+01 1.993756E-02 -3.725990E-02
396 5.790233E+00 5.567165E-02 -1.289275E-02
397 1.068293E+01 3.847321E-02 -3.960057E-02
398 5.397069E+00 2.019963E-02 1.607765E-02
399 1.370406E+01 3.335023E-02 3.309308E-02
400 1.736675E+01 1.372898E-01 4.911561E-03
401 2.516664E+01 8.209450E-02 5.728110E-02
402 9.124953E+00 6.962464E-02 -6.137756E-02
403 1.582803E+01 3.060606E-01 -3.512394E-02
404 8.028334E+00 1.063096E-01 6.836834E-02
405 1.126314E+01 3.874499E-02 -2.264073E-02
406 1.910696E+01 7.394392E-02 -3.178276E-02
407 3.287979E+01 1.137643E-01 -4.462449E-02
408 2.081741E+01 6.863087E-02 9.018932E-04
409 9.663666E+00 1.425018E-01 -1.808744E-03
410 1.303571E+01 8.378839E-02 1.117808E-01
411 2.457781E+01 9.833144E-02 -3.374507E-02
412 9.659227E+00 1.427919E-01 2.820417E-02
413 1.068189E+01 8.341190E-02 7.358862E-03
414 8.644746E+00 1.389749E-01 -3.477336E-02
415 8.235341E+00 5.659936E-02 3.377400E-02
416 1.111846E+01 1.085239E-01 2.833995E-02
417 1.694233E+01 9.428864E-02 1.086286E-01
418 1.295228E+01 1.147900E-01 8.395380E-02
419 2.882558E+00 3.901364E-02 7.458078E-03
420 5.449480E+00 8.248802E-02 -2.254062E-02
421 1.447979E+01 1.356048E-01 1.405872E-01
422 8.899436E+00 7.349595E-02 4.368277E-02
423 4.638409E+00 9.327649E-02 4.937447E-02
424 2.954730E+01 4.758803E-02 9.752715E-03
425 1.484332E+01 2.373862E-02 -2.345011E-03
426 1.240100E+01 7.496113E-02 1.126658E-02
427 3.176382E+00 2.804543E-02 -1.911583E-02
428 5.216113E+00 1.032625E-01 4.327919E-02
429 1.178554E+01 9.386495E-02 1.909628E-02
430 1.888789E+01 4.035051E-02 -6.269555E-02
431 6.971067E+00 5.727169E-02 -2.000971E-02
432 8.270160E+00 1.487882E-01 1.578372E-02
433 9.180896E+00 7.888472E-02 1.892972E-03
434 9.441605E+00 4.123943E-02 -1.840504E-02
435 7.091399E+00 3.592755E-02 -2.464109E-02
436 6.282283E+00 7.686195E-02 2.750529E-02
437 1.063928E+01 5.754932E-02 -2.628752E-02
438 1.628533E+01 5.135774E-02 6.037790E-02
439 1.117160E+01 1.260586E-01 1.187172E-02
440 3.757133E+00 1.125166E-01 2.040808E-02
441 4.800328E+00 6.344997E-02 -1.540826E-02
442 6.684915E+00 2.490401E-02 -8.140655E-03
443 2.522954E+01 3.966800E-02 -3.791318E-02
444 1.317224E+01 2.509697E-02 4.314539E-03
445 1.337733E+01 3.392744E-02 2.189239E-02
446 7.822186E+00 9.962078E-02 1.819520E-02
447 7.704056E+00 9.747363E-02 6.761398E-03
448 8.555541E+00 3.427417E-02 -2.191151E-03
449 2.719167E+01 6.240524E-02 -7.176023E-02
450 2.183900E+01 7.730668E-02 1.163566E-02
451 2.973172E+01 3.074542E-01 8.176279E-02
452 1.502583E+01 2.941469E-02 -8.772372E-03
453 5.808484E+00 5.545158E-02 1.203747E-03
454 9.666548E+00 1.322569E-02 1.727240E-02
455 3.056847E+01 3.439058E-02 4.067385E-02
456 3.087368E+01 7.647648E-02 -1.692974E-01
457 9.125954E+00 1.292048E-01 -1.655026E-02
458 7.240033E+00 4.603079E-02 -1.116902E-02
459 7.748222E+00 4.448813E-02 1.232317E-02
460 1.646856E+01 3.699533E-02 -1.164902E-02
461 5.123011E+00 7.424176E-02 -2.121611E-02
462 2.016345E+01 3.340207E-02 1.581329E-02
463 1.469225E+01 3.964416E-02 -1.666993E-02
464 2.452507E+01 3.384904E-02 -5.202944E-03
465 1.782042E+01 4.569003E-02 6.193612E-02
466 2.160051E+01 4.805213E-02 2.086494E-02
467 2.948746E+01 1.316603E-01 4.717607E-03
468 3.483727E+01 1.639006E-02 -3.348870E-02
469 1.368492E+01 6.550570E-02 4.844474E-03
470 1.701395E+01 1.237204E-02 5.988818E-03
471 1.109238E+01 1.502016E-02 -4.185977E-03
472 2.035225E+01 8.232865E-02 -4.642986E-02
473 1.393526E+01 1.714824E-01 -6.201742E-02
474 1.313580E+01 4.472638E-02 -1.724535E-02
475 1.913285E+01 1.351507E-02 -1.677573E-02
476 1.123501E+01 7.571876E-02 -1.317105E-02
477 7.529829E+00 3.806574E-02 -1.023892E-03
478 1.770239E+01 7.257999E-02 -2.974823E-02
479 3.124124E+01 1.015607E-02 2.160867E-02
480 1.687796E+01 2.095074E-02 -1.875533E-02
481 2.477890E+01 1.012101E-02 8.137146E-03
482 9.338116E+00 1.286813E-02 1.917017E-03
483 2.613683E+01 3.340281E-02 -8.237379E-02
484 6.603010E+00 1.378197E-01 -4.767847E-02
485 2.987188E+01 6.234407E-02 6.730946E-03
486 4.102847E+00 1.774340E-02 8.772326E-04
487 1.218380E+01 5.929158E-03 -2.884777E-03
488 1.648820E+01 1.529877E-02 -2.669390E-04
489 1.303981E+01 1.362267E-02 1.917933E-02
490 4.438028E+00 6.351848E-03 -5.899526E-03
491 1.520091E+01 3.781222E-02 -5.291951E-02
492 6.275593E+00 2.038515E-02 -3.267767E-03
493 1.038504E+01 7.058743E-03 -1.532515E-02
494 3.085795E+01 1.624709E-02 1.305255E-02
495 1.271744E+01 6.014348E-02 1.642996E-02
496 2.189562E+01 2.388848E-02 -2.884500E-02
497 1.509871E+01 2.442740E-02 4.611056E-02
498 1.367387E+01 3.516481E-02 5.725045E-02
499 4.045829E+01 9.045542E-03 2.884233E-02
500 2.863165E+01 2.321964E-02 -5.915978E-02
501 1.949283E+01 1.590115E-02 -3.485543E-02
502 8.704923E+00 3.340690E-02 5.417967E-04
503 1.023273E+01 2.745391E-02 -2.598465E-02
504 1.149868E+01 1.019471E-02 -7.528181E-03
505 9.933124E+00 1.635933E-02 -3.829515E-03
506 1.210212E+01 4.041641E-02 2.537142E-02
507 1.726134E+01 1.195253E-02 1.290821E-02
508 8.157453E+00 3.113622E-02 -2.211076E-02
509 2.377059E+01 1.299837E-02 1.015056E-02
510 2.657260E+01 3.764087E-02 -5.330035E-02
511 1.515895E+01 2.870447E-02 7.078616E-02
512 9.093277E+00 1.474957E-02 1.187459E-02
513 1.467857E+01 2.104496E-02 3.503128E-02
514 1.779409E+01 7.598262E-03 -1.575730E-03
515 4.152863E+00 7.182847E-03 5.456235E-03
516 2.436502E+01 8.754374E-03 -1.218553E-02
517 1.008775E+01 1.993074E-02 -1.171083E-02
518 2.332108E+01 2.214287E-02 -1.413150E-02
519 2.668732E+01 1.811721E-02 -3.740496E-03
